TIPO,VIA,TRATTI,CIRC.,FREQ.,LUN,MAR,MER,GIO,VEN,SAB,ITINERARIO,SEDE
VIA,CHIARAMONTE GIOVANNI,,1,sett.,,,,,,x,C1S13,CAMPISI
VICOLO,CHIARANDA,,1,sett.,,,x,,,,C1S10,CAMPISI
VIA,CHIAVETTIERI,,1,trisett.,,x,,x,,x,C1T08,STRAZZERI
PIAZZETTA,CHIESA DEI COCCHIERI,,1,bisett.,x,,,x,,,C1B04,INGHAM
PIAZZA,CHINNICI ROCCO,,8,bisett.,x,,,x,,,C8B54,MOZART
PIAZZA,CHOPIN FEDERICO,,8,bisett.,x,,,x,,,C8B51,MOZART
VIA,CIACCIO FRANCESCO PAOLO,,8,sett.,,,,x,,,C8S10,MOZART
VIA,CIANCIOLO FRATELLI,,1,sett.,,,x,,,,C1S03,STRAZZERI
VICOLO,CICALA ANTONINO,,1,bisett.,x,,,x,,,C1B16,CAMPISI
VIA,CICHE' GIUSEPPE,,8,bisett.,,,x,,,x,C8B12,STRAZZERI
VIA,CILEA FRANCESCO,Paternò - Perosi,8,bisett.,,x,,,x,,C8B52,MOZART
VIA,CILEA FRANCESCO,Perosi - Zandonai,8,bisett.,,,x,,,x,C8B55,MOZART
VIA,CILEA FRANCESCO,Carissimi - Zandonai,8,sett.,,,,x,,,C8S28,MOZART
VIA,CIMAROSA DOMENICO,,8,sett.,x,,,,,,C8S25,MOZART
VIA,CIMBALI GIUSEPPE,A. Rizzo - Don Gnocchi,8,sett.,,x,,,,,C8S18,STRAZZERI
